mode,frequency_hz,classification
1,36.43160584863326,Euler-Bernoulli vertical bending
2,208.07777301920228,Euler-Bernoulli vertical bending
3,566.292572731808,Euler-Bernoulli vertical bending
4,1101.6054773016444,Euler-Bernoulli vertical bending
5,1816.6242561609708,Euler-Bernoulli vertical bending
6,2713.2742884955055,Euler-Bernoulli vertical bending
7,3795.0546127146986,Euler-Bernoulli vertical bending
8,5067.027101687832,Euler-Bernoulli vertical bending
9,6534.74991794875,Euler-Bernoulli vertical bending
10,8198.852315610677,Euler-Bernoulli vertical bending
