node,x_m,vertical_displacement_m,rotation_rad,reaction_force_N,reaction_moment_Nm
0,0.0,0.0,0.0,-64.3600000000196,-16.41521000001539
1,0.049999999999999996,4.082584342575093e-05,0.0015790723236873347,1.2612133559741778e-13,1.3230735951275108e-13
2,0.09999999999999999,0.00015499577619288742,0.0029366125453147646,4.645173135031655e-13,5.191052449005085e-12
3,0.15,0.0003315979067571239,0.004079650048607646,-4.431122135883925e-12,-7.046099814722595e-14
4,0.19999999999999998,0.0005601339114303181,0.00501771677250434,4.0030201375884644e-12,2.449637714896369e-13
5,0.24999999999999997,0.0008306509139359184,0.005763112437130451,5.567990513100085e-12,-5.744224540471521e-13
6,0.3,0.001133886810990855,0.0063311727991169,-4.030553668599168e-12,-2.8431770826564673e-13
7,0.35,0.0014614287803899012,0.006740520793375717,-1.149302875091962e-12,1.1614702255524634e-12
8,0.39999999999999997,0.0018058823666652667,0.007013227220967616,-2.7284841053187847e-12,-4.344788417931511e-14
9,0.44999999999999996,0.0021610446480250993,0.0071747926218347045,5.81756864903582e-12,-1.1176129466328177e-13
10,0.49999999999999994,0.002522069036879193,0.007253786809165296,-1.2012613126444194e-12,-1.7221293835412155e-13
11,0.5499999999999999,0.002885594392866006,0.007280683015351879,-1.1269207789155189e-11,9.90221793450985e-13
12,0.6,0.0032497706423054583,0.007284472313268098,-1.6997514507011147e-12,1.202787869303279e-13
