band,span_start_mm,span_end_mm,span_mid_mm,local_chord_mid_mm,projected_area_m2,total_directional_force_n,equivalent_projected_pressure_pa,cumulative_shear_inboard_n,root_moment_contribution_nm
1,0.0,50.0,25.0,236.667,0.01183333,6.820896,576.414,64.35997,0.170522
2,50.0,100.0,75.0,230.0,0.0115,6.773224,588.976,57.539074,0.507992
3,100.0,150.0,125.0,223.333,0.01116667,6.676857,597.927,50.76585,0.834607
4,150.0,200.0,175.0,216.667,0.01083333,6.529633,602.735,44.088993,1.142686
5,200.0,250.0,225.0,210.0,0.0105,6.327993,602.666,37.55936,1.423798
6,250.0,300.0,275.0,203.333,0.01016667,6.066494,596.704,31.231367,1.668286
7,300.0,350.0,325.0,196.667,0.00983333,5.73692,583.416,25.164873,1.864499
8,350.0,400.0,375.0,190.0,0.0095,5.326575,560.692,19.427953,1.997466
9,400.0,450.0,425.0,183.333,0.00916667,4.81467,525.237,14.101378,2.046235
10,450.0,500.0,475.0,176.667,0.00883333,4.16336,471.324,9.286708,1.977596
11,500.0,550.0,525.0,170.0,0.0085,3.288218,386.849,5.123348,1.726314
12,550.0,600.0,575.0,163.333,0.00816667,1.83513,224.71,1.83513,1.0552
